,chatbot,classification_triage,llm_assisted_screening,llm_decision_support,not_llm,profiling_scoring,resource_allocation,summary_assistant,surveillance_monitor,unknown
chatbot,0,0,0,0,0,0,0,0,0,0
classification_triage,0,0,0,0,0,0,0,0,0,0
llm_assisted_screening,0,0,0,0,1,2,0,0,0,0
llm_decision_support,0,0,0,2,0,0,0,1,0,0
not_llm,0,1,0,0,2,1,1,0,0,20
profiling_scoring,0,1,0,0,1,12,0,0,1,0
resource_allocation,0,0,0,0,0,0,0,0,0,0
summary_assistant,0,0,0,0,0,0,0,0,0,0
surveillance_monitor,0,0,1,1,1,2,0,0,6,1
unknown,2,8,0,8,6,30,3,3,11,21
